timestamp,value,classification,date
01-02-2018 05:30,30,Fear,01-02-2018
02-02-2018 05:30,15,Extreme Fear,02-02-2018
03-02-2018 05:30,40,Fear,03-02-2018
04-02-2018 05:30,24,Extreme Fear,04-02-2018
05-02-2018 05:30,11,Extreme Fear,05-02-2018
06-02-2018 05:30,8,Extreme Fear,06-02-2018
07-02-2018 05:30,36,Fear,07-02-2018
08-02-2018 05:30,30,Fear,08-02-2018
09-02-2018 05:30,44,Fear,09-02-2018
10-02-2018 05:30,54,Neutral,10-02-2018
11-02-2018 05:30,31,Fear,11-02-2018
12-02-2018 05:30,42,Fear,12-02-2018
13-02-2018 05:30,35,Fear,13-02-2018
14-02-2018 05:30,55,Greed,14-02-2018
15-02-2018 05:30,71,Greed,15-02-2018
16-02-2018 05:30,67,Greed,16-02-2018
17-02-2018 05:30,74,Greed,17-02-2018
18-02-2018 05:30,63,Greed,18-02-2018
19-02-2018 05:30,67,Greed,19-02-2018
20-02-2018 05:30,74,Greed,20-02-2018
21-02-2018 05:30,54,Neutral,21-02-2018
22-02-2018 05:30,44,Fear,22-02-2018
23-02-2018 05:30,39,Fear,23-02-2018
24-02-2018 05:30,31,Fear,24-02-2018
25-02-2018 05:30,33,Fear,25-02-2018
26-02-2018 05:30,37,Fear,26-02-2018
27-02-2018 05:30,44,Fear,27-02-2018
28-02-2018 05:30,41,Fear,28-02-2018
01-03-2018 05:30,38,Fear,01-03-2018
02-03-2018 05:30,47,Neutral,02-03-2018
03-03-2018 05:30,56,Greed,03-03-2018
04-03-2018 05:30,44,Fear,04-03-2018
05-03-2018 05:30,55,Greed,05-03-2018
06-03-2018 05:30,59,Greed,06-03-2018
07-03-2018 05:30,37,Fear,07-03-2018
08-03-2018 05:30,39,Fear,08-03-2018
09-03-2018 05:30,37,Fear,09-03-2018
10-03-2018 05:30,39,Fear,10-03-2018
11-03-2018 05:30,40,Fear,11-03-2018
12-03-2018 05:30,41,Fear,12-03-2018
13-03-2018 05:30,41,Fear,13-03-2018
14-03-2018 05:30,40,Fear,14-03-2018
15-03-2018 05:30,32,Fear,15-03-2018
16-03-2018 05:30,33,Fear,16-03-2018
17-03-2018 05:30,31,Fear,17-03-2018
18-03-2018 05:30,29,Fear,18-03-2018
19-03-2018 05:30,29,Fear,19-03-2018
20-03-2018 05:30,37,Fear,20-03-2018
21-03-2018 05:30,36,Fear,21-03-2018
22-03-2018 05:30,36,Fear,22-03-2018
23-03-2018 05:30,28,Fear,23-03-2018
24-03-2018 05:30,32,Fear,24-03-2018
25-03-2018 05:30,30,Fear,25-03-2018
26-03-2018 05:30,31,Fear,26-03-2018
27-03-2018 05:30,24,Extreme Fear,27-03-2018
28-03-2018 05:30,24,Extreme Fear,28-03-2018
29-03-2018 05:30,18,Extreme Fear,29-03-2018
30-03-2018 05:30,12,Extreme Fear,30-03-2018
31-03-2018 05:30,16,Extreme Fear,31-03-2018
01-04-2018 05:30,16,Extreme Fear,01-04-2018
02-04-2018 05:30,11,Extreme Fear,02-04-2018
03-04-2018 05:30,22,Extreme Fear,03-04-2018
04-04-2018 05:30,22,Extreme Fear,04-04-2018
05-04-2018 05:30,17,Extreme Fear,05-04-2018
06-04-2018 05:30,19,Extreme Fear,06-04-2018
07-04-2018 05:30,20,Extreme Fear,07-04-2018
08-04-2018 05:30,17,Extreme Fear,08-04-2018
09-04-2018 05:30,21,Extreme Fear,09-04-2018
10-04-2018 05:30,18,Extreme Fear,10-04-2018
11-04-2018 05:30,20,Extreme Fear,11-04-2018
12-04-2018 05:30,18,Extreme Fear,12-04-2018
13-04-2018 05:30,23,Extreme Fear,13-04-2018
17-04-2018 05:30,26,Fear,17-04-2018
18-04-2018 05:30,24,Extreme Fear,18-04-2018
19-04-2018 05:30,25,Fear,19-04-2018
20-04-2018 05:30,26,Fear,20-04-2018
21-04-2018 05:30,32,Fear,21-04-2018
22-04-2018 05:30,31,Fear,22-04-2018
23-04-2018 05:30,28,Fear,23-04-2018
24-04-2018 05:30,29,Fear,24-04-2018
25-04-2018 05:30,64,Greed,25-04-2018
26-04-2018 05:30,47,Neutral,26-04-2018
27-04-2018 05:30,55,Greed,27-04-2018
28-04-2018 05:30,54,Neutral,28-04-2018
29-04-2018 05:30,61,Greed,29-04-2018
30-04-2018 05:30,59,Greed,30-04-2018
01-05-2018 05:30,56,Greed,01-05-2018
02-05-2018 05:30,52,Neutral,02-05-2018
